epoch,F_value,f_value,penaltyvalue,density,train_time,accuracy
1,11.940184797851515,0.32484523188777087,11.615339565963744,0.9971965633193891,30.62757110595703,0.7275641025641025
2,11.556917259616155,0.17753352697302655,11.379383732643127,0.993305090470567,31.2310733795166,0.8557692307692307
3,11.301005649971904,0.15929600759977247,11.141709642372131,0.9863152634054563,31.073956727981567,0.8541666666666666
4,11.04626009070844,0.13886994941205513,10.907390141296386,0.9823127664578372,30.473905086517334,0.8621794871794872
5,10.789795329426148,0.11344027464709631,10.676355054779052,0.9785895498488821,30.165098190307617,0.8397435897435898
6,10.5562647916788,0.1079768404001143,10.448287951278685,0.9720891670502992,30.462400436401367,0.8701923076923077
7,10.327293222258497,0.1032515575246113,10.224041664733885,0.9739230975160625,30.270259380340576,0.8237179487179487
8,10.097491440487692,0.09516631094057386,10.002325129547119,0.9574524379015632,30.54236340522766,0.8557692307692307
9,9.84849075157523,0.06554409489035606,9.782946656684874,0.9493964667440604,30.494588375091553,0.844551282051282
10,9.61858291480537,0.052022797350839874,9.566560117454529,0.9407550389303657,30.723714590072632,0.8509615384615384
11,9.414621747943162,0.057793039828538895,9.356828708114623,0.9407653594803947,30.84227204322815,0.8541666666666666
12,9.194728743294753,0.0463567149439236,9.14837202835083,0.9326124377014071,30.02590847015381,0.8589743589743589
13,8.98371451516349,0.04000944298941914,8.94370507217407,0.9285645928824483,30.200121641159058,0.844551282051282
14,8.793141556411166,0.049367871680637686,8.74377368473053,0.9420535517703809,30.126726388931274,0.8413461538461539
15,8.58189932079164,0.03688902934876884,8.545010291442871,0.9196407572906867,30.185404539108276,0.875
16,8.406748663309841,0.05780569009664582,8.348942973213195,0.9050859670543023,30.280707836151123,0.8669871794871795
17,8.18172142890481,0.02578489078072513,8.155936538124084,0.8806353330597866,30.670746326446533,0.8477564102564102
18,8.006025132185979,0.03509008145050668,7.970935050735473,0.8938096715438042,30.333505153656006,0.8525641025641025
19,7.823471493494685,0.03730200485485356,7.786169488639831,0.8967563449490603,30.373466968536377,0.8461538461538461
20,7.649425752695817,0.04684867193104654,7.60257708076477,0.9095322476531694,30.091996431350708,0.875
21,7.488964587909775,0.06131374283989028,7.427650845069885,0.9003028612317607,30.71679162979126,0.8525641025641025
22,7.276122231517017,0.021835926051319735,7.254286305465698,0.8917752722123257,29.82991886138916,0.8541666666666666
23,7.1097207211052345,0.02364410001148538,7.086076621093749,0.8707973469306058,30.484362363815308,0.8541666666666666
24,6.928893226705373,0.015550512624563785,6.91334271408081,0.8488677418386341,30.749654293060303,0.8605769230769231
25,6.777817951458831,0.021621445034880463,6.75619650642395,0.8303708142351034,30.652376413345337,0.8509615384615384
26,6.618244396259846,0.02169920609718779,6.596545190162658,0.8806966308720803,30.668041467666626,0.8573717948717948
27,6.4551492871920795,0.023747155806276857,6.431402131385803,0.8209162521766978,30.20697259902954,0.8461538461538461
28,6.302975796156069,0.02051038599981949,6.28246541015625,0.8082760803426673,30.0019428730011,0.8557692307692307
29,6.160738294622442,0.024405971166632342,6.13633232345581,0.8008906321931106,30.69462537765503,0.8493589743589743
30,6.01289702935495,0.01911162267007479,5.993785406684875,0.7988759357298693,30.397073984146118,0.842948717948718
31,5.882226894276589,0.030493784230202436,5.8517331100463865,0.8015427033085807,30.362401247024536,0.842948717948718
32,6.113109223638511,0.38701705998036917,5.726092163658142,0.871600473369228,30.246268033981323,0.7532051282051282
33,5.618732367182682,0.02987015961737531,5.588862207565307,0.7698745646604351,30.542623281478882,0.8589743589743589
34,5.474096349496509,0.02250368985143013,5.45159265964508,0.764008739316667,30.96121096611023,0.8525641025641025
35,5.335787820488901,0.013161249024361917,5.322626571464538,0.7144541492364044,30.257587432861328,0.8413461538461539
36,5.219519872687548,0.013122041533678406,5.206397831153869,0.7953003342607233,30.06564164161682,0.844551282051282
37,5.107090134039276,0.025535675611846696,5.081554458427429,0.7816043388843298,30.851165533065796,0.8413461538461539
38,4.97574038471525,0.011958862155130723,4.96378152256012,0.7885297406977443,30.651504039764404,0.844551282051282
39,4.858927086332384,0.012270040739123233,4.846657045593261,0.7325079186765677,30.27318000793457,0.8525641025641025
40,4.751810936328881,0.0101440694160396,4.7416668669128414,0.6827650567442605,30.145265102386475,0.8573717948717948
41,4.667378286773257,0.024034436065249326,4.643343850708008,0.7754576694821961,30.40426230430603,0.8493589743589743
42,4.567343765534054,0.013044225739133431,4.554299539794921,0.8014923515341966,30.235130786895752,0.8573717948717948
43,4.458455206916153,0.01579036904078704,4.442664837875366,0.7300131602650067,30.49475932121277,0.8397435897435898
44,4.373051062805606,0.017443032143069657,4.355608030662537,0.8224684003522748,30.249866724014282,0.8349358974358975
45,4.298656821438314,0.026955622021199728,4.271701199417114,0.8188690303436681,30.459192276000977,0.8573717948717948
46,4.184877385719585,0.01146430424528151,4.173413081474304,0.7019953688877324,30.311771392822266,0.8541666666666666
47,4.100524758923773,0.0119784663136049,4.088546292610168,0.7967580337663377,30.250712394714355,0.8381410256410257
48,4.035670913830239,0.01733568693204533,4.018335226898193,0.82382414533336,30.368581295013428,0.8397435897435898
49,3.970698372196025,0.024470559085673856,3.9462278131103514,0.700817887952603,30.584736108779907,0.8397435897435898
50,3.9238629608810744,0.039822276295503466,3.884040684585571,0.7986438797261864,30.202481031417847,0.8205128205128205
51,3.862878767437731,0.04180012470701846,3.8210786427307126,0.861759985288525,30.491846561431885,0.8637820512820513
52,3.7780901104243423,0.02433417971450381,3.7537559307098385,0.8311073262144473,30.64418053627014,0.8621794871794872
