epoch,F_value,f_value,penaltyvalue,density,train_time,accuracy,stage
1,9.100835760979537,0.7578666689919262,8.34296909198761,0.9989141880264922,36.043741941452026,0.5608974358974359,
2,8.893862250414127,0.6602363222982826,8.233625928115845,0.9978927806791124,35.94110321998596,0.6746794871794872,
3,8.744232778386372,0.6249937313358959,8.119239047050476,0.996572485843488,37.6497106552124,0.7355769230769231,
4,8.590193213245346,0.5859756244391929,8.004217588806153,0.9959475108549933,36.399147033691406,0.7435897435897436,
5,8.446808784917506,0.5578210266625009,7.888987758255006,0.9935226454168917,36.95977807044983,0.7660256410256411,
6,8.301612996937589,0.5259011046188634,7.775711892318726,0.992388686295696,35.941744327545166,0.7355769230769231,
7,8.188685094086717,0.5252068231745464,7.6634782709121705,0.9911040328551134,35.30996131896973,0.7419871794871795,
8,8.130097682415567,0.5765561781278471,7.55354150428772,0.9913466444564499,33.98418951034546,0.6858974358974359,
9,7.933485696582097,0.48812951620032147,7.445356180381776,0.9887895306841147,33.569859981536865,0.7564102564102564,
10,7.811851001255687,0.4726214583327131,7.339229542922974,0.9866504216939792,36.50558137893677,0.7596153846153846,
11,7.675759896918041,0.44186867301057026,7.233891223907471,0.986547561878464,37.81503748893738,0.7467948717948718,
12,7.551020649843681,0.4210642743401411,7.12995637550354,0.9833013811353223,33.764097690582275,0.7580128205128205,
13,7.435682105847103,0.40725181524346515,7.028430290603638,0.9823215554154912,35.26217293739319,0.7692307692307693,
14,7.290170657668463,0.3606537631372126,6.92951689453125,0.9833751650759349,33.18228340148926,0.7580128205128205,
15,7.184182171696571,0.35184028708353277,6.8323418846130375,0.9791388413670288,36.22208857536316,0.7131410256410257,
16,7.0473553651286345,0.3121650037242145,6.7351903614044195,0.9758235663405166,35.108843088150024,0.7291666666666666,
17,6.9661811329667165,0.3234560627762864,6.64272507019043,0.97677963113032,37.56416630744934,0.7355769230769231,
18,6.825060234415822,0.2773396514537858,6.547720582962037,0.9678611536306702,36.32932734489441,0.6955128205128205,
19,6.741041634184558,0.2835534502093385,6.45748818397522,0.9691811358224783,37.53467345237732,0.7676282051282052,
20,6.66281727154255,0.29105837643146515,6.371758895111085,0.9727355833683494,36.077537059783936,0.7628205128205128,
21,6.559333788465291,0.2753006993997388,6.284033089065552,0.9681218985733437,37.33366084098816,0.7548076923076923,
22,6.420200685983169,0.2217828053526762,6.198417880630493,0.9662057046241271,37.39715766906738,0.7403846153846154,
23,6.3101396919486,0.19778386576146614,6.112355826187134,0.9617767923244692,33.24776339530945,0.782051282051282,
24,6.226876726855884,0.1972055831333486,6.029671143722535,0.9627112846909578,32.465415477752686,0.7676282051282052,
25,6.134474955479982,0.1891205865072041,5.945354368972779,0.9593628694199332,39.54219961166382,0.7516025641025641,
26,6.034731570820693,0.16935573845374874,5.865375832366944,0.9617627233527423,35.0124249458313,0.7740384615384616,
27,5.928523885588531,0.1473567667530804,5.78116711883545,0.9466801603737719,38.414907455444336,0.7339743589743589,
28,5.845855072869324,0.14342945450689734,5.702425618362427,0.9437725728835265,36.07221961021423,0.7532051282051282,
29,5.7634829375025705,0.14156586749524605,5.621917070007324,0.9442743662084558,33.367589473724365,0.7419871794871795,
30,5.688752770483494,0.14372090250253677,5.545031867980957,0.9448696400344159,36.70634722709656,0.7387820512820513,
31,5.604107096999738,0.07057330793723827,5.5335337890625,0.9406673945014706,35.26310729980469,0.7483974358974359,
32,5.574698502979991,0.05204077669214911,5.522657726287842,0.935693544030254,37.95190763473511,0.75,
33,5.553115893161224,0.041121332156585484,5.511994561004639,0.9375834758989136,32.35305166244507,0.7532051282051282,
34,5.535846109696933,0.03444940483243,5.5013967048645025,0.9055193514016447,34.888333797454834,0.7483974358974359,
35,5.512712428358924,0.021867353514563745,5.49084507484436,0.8890899188626769,35.01444053649902,0.75,
36,5.496694521242108,0.016294214158977676,5.48040030708313,0.9047199211637353,36.095240116119385,0.7516025641025641,
37,5.483033579820776,0.012998107332372812,5.470035472488403,0.9206838270604478,39.678497552871704,0.75,
38,5.469323057823247,0.009770128898686024,5.459552928924561,0.8571783645476919,33.19830060005188,0.7516025641025641,
39,5.458681098208622,0.00944147876282109,5.449239619445801,0.8529661144126298,36.2703173160553,0.7516025641025641,
40,5.445356222749974,0.006484031893040349,5.438872190856934,0.8410922149188627,32.361045122146606,0.7532051282051282,
41,5.4365930253290005,0.007874658706075535,5.428718366622925,0.8404325364667747,39.03837251663208,0.7483974358974359,
42,5.427937084421107,0.009434644922205224,5.418502439498901,0.8465553529623627,36.6112961769104,0.75,
43,5.415712474566348,0.007383175021060175,5.408329299545288,0.8300174330191888,36.65095567703247,0.75,
44,5.4053457274623256,0.0071189162440643446,5.398226811218262,0.8710641269984193,37.13744616508484,0.7548076923076923,
45,5.392685889958354,0.00453079085251907,5.388155099105835,0.8152625207595494,34.34627175331116,0.7467948717948718,
46,5.381914023147651,0.0038356074677189677,5.378078415679932,0.8014330341957301,36.861021518707275,0.7435897435897436,
47,5.372667289574081,0.004375908501082804,5.368291381072998,0.8728637048042099,33.61618447303772,0.75,
48,5.363237454526309,0.005088980786684082,5.358148473739624,0.8159615923324729,37.05662250518799,0.7532051282051282,
49,5.3521839622120355,0.004054964409300648,5.348128997802735,0.7980045821077696,34.28314423561096,0.7532051282051282,
50,5.341850154981254,0.0037108006569125302,5.338139354324341,0.7794082152790284,36.39207148551941,0.7532051282051282,
51,5.333542369922465,0.005003580173318524,5.328538789749146,0.8241622396302299,36.255884408950806,0.75,
