epoch,F_value,f_value,penaltyvalue,density,train_time,accuracy,stage
1,189.9422332838338,0.6459012525837596,189.29633203125002,0.9848407655178739,35.95510697364807,0.594551282051282,
2,182.74248118215144,0.6044985637432192,182.13798261840822,0.9721697041744055,35.17337608337402,0.6891025641025641,
3,175.66771916925083,0.5288308648074546,175.13888830444338,0.9564190370548715,31.530948638916016,0.6955128205128205,
4,168.89935505954048,0.5947820718695478,168.30457298767092,0.9481752560993786,34.369601249694824,0.7516025641025641,
5,162.14854707791724,0.5175198098508323,161.63102726806642,0.9393128131377405,32.94635772705078,0.7067307692307693,
6,155.6341225084821,0.5210630675641502,155.11305944091797,0.9169520376166563,35.17068672180176,0.6330128205128205,
7,149.26388535616945,0.5031077963549916,148.76077755981447,0.9171009034417922,31.29154062271118,0.6490384615384616,
8,143.00452577916982,0.4302311270702176,142.5742946520996,0.9103323451938731,30.782198190689087,0.7419871794871795,
9,136.9525360665384,0.4142999074807981,136.53823615905762,0.8829396002442045,29.658265829086304,0.6586538461538461,
10,131.03110357162453,0.3620336717221795,130.66906989990235,0.8753378591410425,32.14219665527344,0.6778846153846154,
11,125.4218261836415,0.432228915575074,124.98959726806642,0.8954239075290638,30.787213563919067,0.6858974358974359,
12,119.77326807707996,0.32590600920886525,119.4473620678711,0.8707337669968586,31.00731348991394,0.7147435897435898,
13,114.47738306480083,0.38559553245218786,114.09178753234865,0.8700429113354429,33.18344783782959,0.6426282051282052,
14,109.34709985557532,0.46624762474036796,108.88085223083496,0.8792496624991402,31.588624954223633,0.6618589743589743,
15,104.32206244464875,0.46614086627960205,103.85592157836915,0.868593484871936,37.62860822677612,0.7451923076923077,
16,99.21306149127136,0.2728352186883368,98.94022627258302,0.8266241601889431,30.268761157989502,0.7419871794871795,
17,94.48139648814039,0.2550680201228072,94.22632846801758,0.8108243189791566,33.68810200691223,0.6746794871794872,
18,90.01038610388058,0.28238384680050177,89.72800225708008,0.8344142676159685,31.503841400146484,0.594551282051282,
19,85.71600003011332,0.374125525718782,85.34187450439454,0.8332078453543831,32.51041221618652,0.5384615384615384,
20,81.8988397757977,0.7131434635418218,81.18569631225587,0.8648683460021555,32.59537386894226,0.5993589743589743,
21,77.32028201991571,0.255233537860033,77.06504848205567,0.8009723930029121,32.97174859046936,0.6009615384615384,
22,73.43406885248092,0.22468170160200537,73.20938715087891,0.8316206597819358,33.3769588470459,0.6298076923076923,
23,69.5850309769178,0.21371381566291903,69.3713171612549,0.7618136945094127,30.332392692565918,0.7083333333333334,
24,66.69380031766775,0.6578548281657987,66.03594548950196,0.8620636314519272,31.035583019256592,0.6506410256410257,
25,62.644612369747165,0.1952938437461853,62.44931852600098,0.7800554010169453,31.121491193771362,0.6634615384615384,
26,59.4592055874642,0.204956896057943,59.254248691406254,0.7889370120210497,32.388872146606445,0.6586538461538461,
27,56.48408350368593,0.2462864852533108,56.23779701843262,0.8138120256357341,33.12669634819031,0.6442307692307693,
28,53.38233954848383,0.16330463057611047,53.21903491790772,0.7889753481059825,32.397151947021484,0.6137820512820513,
29,50.565861348994424,0.1509558900100429,50.41490545898438,0.7601452686822132,30.592010021209717,0.6538461538461539,
30,48.237094331202044,0.30766171035243245,47.92943262084961,0.8062826573284263,32.49108147621155,0.6298076923076923,
31,47.5194251574104,0.06553677941967802,47.45388837799072,0.68813917360299,31.850131511688232,0.6955128205128205,
32,47.13619358496672,0.03903461829191301,47.097158966674805,0.6609810132478044,32.020551919937134,0.6971153846153846,
33,46.802559501203326,0.030125099347858893,46.77243440185547,0.5290300898855793,28.754551887512207,0.7019230769230769,
34,46.49432167744458,0.023686276748776436,46.470635400695805,0.5594783462027929,32.369170904159546,0.7035256410256411,
35,46.19916182939881,0.020232422050179506,46.17892940734863,0.48059065516727434,28.86806058883667,0.6939102564102564,
36,45.91463848790591,0.01789902959291528,45.89673945831299,0.45484931768934445,31.66536283493042,0.6939102564102564,
37,45.635483488803885,0.013140912815110713,45.622342575988775,0.46049376877393317,30.65258526802063,0.6875,
38,45.366163168874,0.010950661854954755,45.35521250701905,0.5258579579979822,29.130307912826538,0.6858974358974359,
39,45.10167609383631,0.010774217920786724,45.09090187591553,0.4960922273050377,30.596874952316284,0.6971153846153846,
40,44.83572690323412,0.0085567173820625,44.827170185852054,0.40024538677168603,30.72581696510315,0.6891025641025641,
41,44.5794990960397,0.008076464814111227,44.57142263122559,0.4127265590963289,30.821052074432373,0.6907051282051282,
42,44.32626766090074,0.006930041882186764,44.319337619018555,0.44273690625644907,30.744887590408325,0.6955128205128205,
43,44.07447697273314,0.006716816788312138,44.067760155944825,0.4162400433663525,30.51701831817627,0.6891025641025641,
44,43.82466337981841,0.0056177432217249055,43.819045636596684,0.34642331493201256,28.735941648483276,0.6858974358974359,
45,43.57926357861261,0.005195832640932101,43.57406774597168,0.34031945782027473,31.444922924041748,0.6987179487179487,
46,43.339298200104146,0.005717749054339237,43.333580451049805,0.4434257018011511,29.156747341156006,0.6875,
47,43.09750611842324,0.005236739150770917,43.092269379272466,0.35880031700717707,32.59749174118042,0.6955128205128205,
48,42.858568202567035,0.0050163553380293815,42.85355184722901,0.3317247404611222,29.182662963867188,0.6858974358974359,
49,42.62196168453979,0.004180860870358784,42.617780823669435,0.32733794584508497,28.508667469024658,0.6891025641025641,
50,42.38810085203889,0.0036560861087154323,42.384444765930176,0.35152111852514273,37.088300466537476,0.6891025641025641,
,,,,,78.39261328005323,,
