epoch,F_value,f_value,penaltyvalue,density,train_time,accuracy,stage
1,47.24287626957079,0.8914179409422526,46.35145832862854,0.9744704439041959,45.52817726135254,0.5592948717948718,
2,42.80050703275029,0.6598068519336421,42.140700180816644,0.9384241751205554,46.07699918746948,0.7275641025641025,
3,38.861564694639526,0.6513453213179984,38.21021937332153,0.9041387163095024,47.072895526885986,0.6810897435897436,
4,35.13558842263803,0.5611366484223342,34.574451774215696,0.870693331432459,42.99234461784363,0.7435897435897436,
5,31.794117484946366,0.5603039977027149,31.23381348724365,0.8357929022350281,48.755671977996826,0.7259615384615384,
6,28.639073050433833,0.4829111535374711,28.15616189689636,0.7922947680933229,46.85944676399231,0.7548076923076923,
7,25.985527450623163,0.5821827599188176,25.403344690704344,0.7859121445865098,44.19216561317444,0.6586538461538461,
8,23.375726903888655,0.46745441090769885,22.908272492980956,0.7563929407527462,43.91376519203186,0.7291666666666666,
9,21.20542138068734,0.48078751418648696,20.724633866500852,0.7251094878644176,44.00167489051819,0.7740384615384616,
10,19.262137866184187,0.44749806058116076,18.814639805603026,0.7044277867819196,45.42755579948425,0.7676282051282052,
11,17.694284905584848,0.44892958751538903,17.245355318069457,0.6820134136702883,43.341821908950806,0.7467948717948718,
12,17.081120516088532,0.800888709905671,16.28023180618286,0.8882870495427897,44.042222023010254,0.5608974358974359,
13,15.845290845640692,0.6537202989182821,15.19157054672241,0.7656722092162395,43.89286661148071,0.7580128205128205,
14,14.734425169931969,0.5572819135537962,14.177143256378173,0.654691157932649,44.853559494018555,0.6730769230769231,
15,13.777514842034547,0.42831638164636565,13.349198460388182,0.6204472807491446,43.17985534667969,0.7884615384615384,
16,13.576611473071866,0.65370818899899,12.922903284072875,0.7440560157672529,43.422226428985596,0.6634615384615384,
17,12.939391001234984,0.5593935883626705,12.379997412872314,0.6469966809732477,42.856528520584106,0.7435897435897436,
18,13.485761690688713,1.2473435983425234,12.23841809234619,0.713484140204494,44.65530753135681,0.4310897435897436,
19,13.710887511838354,0.606303391660132,13.104584120178222,0.6101094003241491,45.70650053024292,0.7243589743589743,
20,12.846085610519966,0.5855810962072233,12.260504514312743,0.5553670313344138,44.61607527732849,0.780448717948718,
21,12.620778135246184,0.6337708976210618,11.987007237625122,0.6663199446745502,43.6935613155365,0.7131410256410257,
22,12.417188182537728,0.7167486126829938,11.700439569854735,0.6613970551453668,43.878429651260376,0.6634615384615384,
23,11.931093201769851,0.5664060973539585,11.364687104415893,0.5914442518558537,46.19544744491577,0.7115384615384616,
24,12.08548386003564,0.6723488373000447,11.413135022735595,0.7569728950317146,46.148465394973755,0.6826923076923077,
25,11.918886484334525,0.6247833429313288,11.294103141403196,0.6817023330732137,45.646217823028564,0.7099358974358975,
26,11.689961153637489,0.5310361109128813,11.158925042724608,0.6806402820297337,46.21800398826599,0.7724358974358975,
27,11.37633484809922,0.5788143742375258,10.797520473861693,0.6285672659423335,46.066730260849,0.8141025641025641,
28,11.493858763366791,0.5360001776276565,10.957858585739135,0.5922883901594733,46.2879581451416,0.6346153846153846,
29,11.219790900469988,0.5428437561523624,10.676947144317626,0.5965078311023071,44.36016058921814,0.8044871794871795,
30,11.051809942639746,0.5614845134863039,10.490325429153442,0.5390948586349721,45.04010319709778,0.7259615384615384,
31,10.73408600131244,0.3926764435884429,10.341409557723997,0.5038564614722773,45.97106647491455,0.8125,
32,10.62294481859905,0.351881486613576,10.271063331985474,0.5992503426576226,45.0131311416626,0.8060897435897436,
33,10.53927717944645,0.3200245881226005,10.219252591323851,0.5205541424055066,45.19071888923645,0.7852564102564102,
34,10.489906983868668,0.29552109939296073,10.194385884475707,0.6062219871140725,46.23738622665405,0.7868589743589743,
35,10.430673492329294,0.2607450659682111,10.169928426361084,0.6124983117233928,45.00255751609802,0.7868589743589743,
36,10.404446512564798,0.2536265781012977,10.1508199344635,0.5848102627208516,44.92003893852234,0.7868589743589743,
37,10.38131164684877,0.23358692265138392,10.147724724197387,0.6478630169878143,46.18046712875366,0.7756410256410257,
38,10.3775155736301,0.24210219739413844,10.135413376235961,0.6302486643856173,43.45051074028015,0.7772435897435898,
39,10.33016790215155,0.20892456719061223,10.121243334960937,0.6175875277627709,45.02736282348633,0.780448717948718,
40,10.324187076115026,0.19789672043265366,10.126290355682372,0.5966525851891871,44.58904957771301,0.7980769230769231,
41,10.292670787029731,0.18290214422272472,10.109768642807007,0.6117460907017228,44.22665572166443,0.7756410256410257,
42,10.278035283760907,0.16036360292899898,10.117671680831908,0.6345237559277268,45.41195511817932,0.7467948717948718,
43,10.311798213059145,0.2077654589240144,10.104032754135131,0.6358027817796186,46.04288959503174,0.75,
44,10.267413966710683,0.159649599797842,10.107764366912841,0.6307316990815776,43.43727374076843,0.7580128205128205,
45,10.241825630431348,0.15089809403913776,10.090927536392211,0.562051356123817,43.83118462562561,0.7676282051282052,
46,10.224112137144367,0.13979457427815692,10.08431756286621,0.6112755617584089,46.41553354263306,0.7692307692307693,
47,10.249661577785886,0.15540055712548698,10.094261020660399,0.6494565625187586,45.77812886238098,0.7580128205128205,
48,10.2131590877264,0.13059418294124486,10.082564904785155,0.6034060042619604,44.24828243255615,0.7548076923076923,
49,10.225364855160073,0.15316839825089384,10.072196456909179,0.6423598605358465,43.81232190132141,0.7660256410256411,
50,10.218797555193959,0.13290151790147875,10.08589603729248,0.641077708245793,43.76596999168396,0.7644230769230769,
51,10.227811778560788,0.15063360206237653,10.077178176498412,0.5900901914880845,45.344537019729614,0.7628205128205128,
