epoch,F_value,f_value,penaltyvalue,density,train_time,accuracy,stage
1,20.916019100042668,0.7659337011779227,20.150085398864746,0.963564327950517,28.605806827545166,0.6522435897435898,
2,19.11737988338703,0.659686738398017,18.457693144989015,0.9288360448052096,36.896050453186035,0.6426282051282052,
3,17.492189606359528,0.6388518141537178,16.85333779220581,0.8985079022494324,38.38535666465759,0.6618589743589743,
4,15.92837269846986,0.589851389570934,15.338521308898926,0.8695511704329183,39.678574323654175,0.7371794871794872,
5,14.534720211721048,0.6192306563621615,13.915489555358887,0.857480230045172,41.134170055389404,0.6698717948717948,
6,13.190874145781121,0.6095836184373716,12.58129052734375,0.837629482813969,38.689050912857056,0.7355769230769231,
7,11.868538776898966,0.5374801442390535,11.331058632659913,0.793955904187017,42.80053186416626,0.7644230769230769,
8,10.78671940334134,0.6036662386684883,10.183053164672852,0.8115713352135929,36.7959258556366,0.6762820512820513,
9,9.65571172142843,0.5450530742726675,9.110658647155763,0.7694749998566875,38.09928846359253,0.7612179487179487,
10,8.700168091912387,0.5673476275874347,8.132820464324952,0.7370120389637935,41.39284563064575,0.7323717948717948,
11,7.860594420965707,0.6051197444520345,7.255474676513672,0.7871911974616496,40.90480899810791,0.7964743589743589,
12,7.298744006089467,0.8148474591534313,6.483896546936036,0.8322961989234368,41.496683835983276,0.6137820512820513,
13,6.322608695227926,0.5666722480843707,5.755936447143555,0.7004366372589484,39.01999306678772,0.7387820512820513,
14,5.723020149065809,0.5945095972317022,5.128510551834107,0.7073255779791796,39.79474091529846,0.7419871794871795,
15,5.169566005121789,0.5539905450692991,4.61557546005249,0.6787141396379354,39.059593200683594,0.7644230769230769,
16,4.785279255542522,0.5970829790685235,4.188196276473999,0.7013620775148471,40.20220732688904,0.7996794871794872,
17,4.445445635508328,0.589162859247952,3.856282776260376,0.7316385380121988,41.08315825462341,0.7644230769230769,
18,4.084675780571962,0.5398601853265995,3.5448155952453617,0.6929676393283805,39.638646364212036,0.7483974358974359,
19,3.9119304236528354,0.6085352606889678,3.3033951629638674,0.6531847254706381,38.52089071273804,0.6875,
20,3.6493337182928878,0.5816063459326581,3.06772737236023,0.5598167427655867,40.10166954994202,0.6987179487179487,
21,3.5261415346424756,0.6160905855457958,2.91005094909668,0.6419847666013162,39.38229584693909,0.6794871794871795,
22,3.505754574308163,0.7319927579019128,2.77376181640625,0.6782048429581986,35.838778018951416,0.6987179487179487,
23,3.3676793655790935,0.7046568001188883,2.663022565460205,0.7018502356056958,38.87419009208679,0.6858974358974359,
24,3.0144950949599103,0.5191998656203107,2.4952952293396,0.5538175037547867,41.30243539810181,0.75,
25,3.0126544365301364,0.5935205482855076,2.419133888244629,0.6110469190685837,43.359490156173706,0.7051282051282052,
26,2.8844702833024467,0.5595811685410942,2.3248891147613526,0.5355074551145353,43.144744634628296,0.7291666666666666,
27,2.876875957577403,0.5685745652129011,2.308301392364502,0.5700852601694527,42.79908013343811,0.8012820512820513,
28,3.153485792399616,0.883819398356647,2.269666394042969,0.6957041013161817,43.87223720550537,0.530448717948718,
29,2.7201808568035686,0.6059797020947061,2.1142011547088626,0.4737387069775974,46.1287887096405,0.7916666666666666,
30,2.6247114278653774,0.5545764318326625,2.070134996032715,0.4983798525601339,43.03566932678223,0.8157051282051282,
31,2.4740712221855072,0.4563700869316008,2.0177011352539065,0.5825197663720162,42.49664568901062,0.8125,
